image_id,selected_source,selected_run_idx,predicted_iou,actual_iou,actual_ari
rwtd_59,rwtd_59_p01_m11.png,3,0.8854024410247803,0.9686913137288206,0.9329829576788632
rwtd_60,rwtd_60_p01_m00.png,3,0.9116279482841492,0.9656149046290852,0.9526265169429347
rwtd_63,rwtd_63_p02_m01.png,3,0.837510347366333,0.920672539458388,0.8931551842481994
rwtd_67,rwtd_67_p01_m00.png,0,0.6657263040542603,0.8252142449025891,0.7382179432877889
rwtd_69,rwtd_69_p01_m00.png,0,0.8433580994606018,0.8752418929195003,0.7571529851431967
rwtd_70,rwtd_70_p01_m00.png,1,0.938839852809906,0.9579424772501819,0.9109482449621688
rwtd_71,run2_union,2,0.9765819907188416,0.9814189189110245,0.9834372623240992
rwtd_73,rwtd_73_p01_m00.png,1,0.9467931389808655,0.968075146670303,0.9385346655847401
rwtd_74,rwtd_74_p01_m01.png,3,0.9245994091033936,0.9314728062130614,0.8589344544196627
rwtd_76,rwtd_76_p02_m00.png,2,0.9459683299064636,0.9821446585259015,0.9678492054404397
rwtd_77,run0_union,0,0.766862690448761,0.8037109374987736,-0.024158146091837192
rwtd_78,rwtd_78_p01_m00.png,2,0.8189565539360046,0.7787124613137832,0.7087110088002146
rwtd_79,rwtd_79_p01_m00.png,1,0.763224720954895,0.731879182085283,0.3054929250472111
rwtd_84,run2_union,2,0.9589440226554871,0.9763367051987849,0.9603914624604495
rwtd_85,rwtd_85_p01_m00.png,3,0.8975300192832947,0.9373614190652722,0.8990606542448742
rwtd_86,run3_union,3,0.7585099339485168,0.812652380339594,0.5333743977286464
rwtd_88,rwtd_88_p01_m09.png,3,0.5503594279289246,0.49308965266299987,0.08995696389583448
rwtd_91,rwtd_91_p03_m00.png,0,0.8978503942489624,0.924672954058641,0.8545842881474719
rwtd_93,rwtd_93_p01_m00.png,2,0.9126060605049133,0.980819135729133,0.9690680228188612
rwtd_95,run3_union,3,0.9292899370193481,0.9799501151158226,0.9620961778956437
rwtd_96,run0_union,0,0.9258021116256714,0.960945936214236,0.9348204631683235
rwtd_101,run3_union,3,0.7041947841644287,0.6830385805151373,0.44686138177675266
rwtd_102,rwtd_102_p02_m00.png,0,0.6735802888870239,0.625931928686069,0.1322830544660227
rwtd_103,rwtd_103_p01_m00.png,2,0.8492421507835388,0.9084546904702904,0.8904781769112925
rwtd_104,rwtd_104_p01_m00.png,0,0.8648315072059631,0.9311784553269583,0.17065445604592452
rwtd_106,run2_union,2,0.8201473951339722,0.8785378589986576,0.9035919573242492
rwtd_107,run3_union,3,0.8016371130943298,0.8955278080368292,0.784751772951263
rwtd_109,run0_union,0,0.5792231559753418,0.6039209399248702,0.2197880757142046
rwtd_118,rwtd_118_p01_m00.png,0,0.6704856157302856,0.7480582184578615,0.2751806321876609
rwtd_121,run3_union,3,0.740057647228241,0.8420690814084509,-0.03901788336493833
rwtd_122,rwtd_122_p01_m00.png,1,0.9145103693008423,0.9178460790836487,0.8417119899993426
rwtd_125,run2_union,2,0.9393728971481323,0.9485341695239234,0.9362132107328845
rwtd_128,rwtd_128_p01_m00.png,2,0.8693404793739319,0.8835142512518599,0.6874749507547023
rwtd_129,run3_union,3,0.5787888169288635,0.6198192479233227,0.07067681735885666
rwtd_134,rwtd_134_p02_m00.png,2,0.8697223663330078,0.9613550307802371,0.9200595164245365
rwtd_139,run2_union,2,0.85002201795578,0.8398926970426744,0.74194671688474
rwtd_142,rwtd_142_p02_m11.png,3,0.7598076462745667,0.8848503359669387,0.9196266372348013
rwtd_149,run0_union,0,0.7683601379394531,0.7864904020262159,0.5596338647496495
rwtd_175,run3_union,3,0.7609262466430664,0.8565274865510608,0.6516974697065081
rwtd_176,run3_union,3,0.7984714508056641,0.8884118679698809,0.5669826780417768
rwtd_178,rwtd_178_p01_m00.png,2,0.8349493741989136,0.8963933249564099,0.8313376916414678
rwtd_180,run1_union,1,0.9343388676643372,0.9626744148888449,0.9299206015866269
rwtd_181,run1_union,1,0.8244839906692505,0.9729152361318792,0.0010645398545167733
rwtd_182,rwtd_182_p02_m00.png,1,0.9359472990036011,0.9634154020497342,0.9303332821746775
rwtd_183,rwtd_183_p01_m00.png,2,0.9564164876937866,0.9757595882423605,0.9472438294607994
rwtd_184,run2_union,2,0.8437789082527161,0.9640039673442221,0.000786124910211855
rwtd_185,run0_union,0,0.9360858201980591,0.9669060487119016,0.9461097564616581
rwtd_186,rwtd_186_p02_m00.png,1,0.735912024974823,0.7988916763365451,0.6976355681975384
rwtd_188,rwtd_188_p02_m00.png,3,0.799994170665741,0.8905966904188591,0.7910908982478394
rwtd_189,rwtd_189_p01_m00.png,0,0.8356989026069641,0.8341275391532614,0.30346899440671676
rwtd_194,rwtd_194_p01_m00.png,1,0.9319899082183838,0.9375329385840669,0.8807935593624643
rwtd_197,rwtd_197_p01_m00.png,0,0.9462542533874512,0.9608059548229959,0.9089027257444876
rwtd_200,run2_union,2,0.9728484749794006,0.9839052085856138,0.9797478306035151
rwtd_201,rwtd_201_p02_m01.png,3,0.8924045562744141,0.9109933696397378,0.8248851729673167
rwtd_202,run2_union,2,0.967770516872406,0.9725920886336252,0.9651405810732554
rwtd_205,run0_union,0,0.9324474334716797,0.9531785624677317,0.9000862581561597
rwtd_207,rwtd_207_p02_m00.png,1,0.9526263475418091,0.9834539484139909,0.9685729413971995
rwtd_210,rwtd_210_p01_m00.png,2,0.8785517811775208,0.9220026791663697,0.862870032262163
rwtd_213,rwtd_213_p01_m00.png,0,0.9581305384635925,0.9949676106831336,0.9885540847488252
rwtd_214,rwtd_214_p01_m00.png,0,0.9543476700782776,0.9754536346405002,0.9468882673099395
rwtd_215,rwtd_215_p02_m00.png,0,0.9584477543830872,0.9624911349821058,0.9147081723797033
rwtd_216,run0_union,0,0.7992135286331177,0.7923782035842957,0.5820017670736363
rwtd_219,rwtd_219_p01_m00.png,2,0.9556421041488647,0.991098259338348,0.9809259961429063
rwtd_221,rwtd_221_p03_m02.png,3,0.9558649063110352,0.9966414245397908,0.9935406253872553
rwtd_222,run2_union,2,0.9158863425254822,0.9513690992383138,0.9489476426373968
rwtd_224,rwtd_224_p02_m00.png,1,0.9506900906562805,0.9847628779197428,0.9692941028284473
rwtd_228,run3_union,3,0.809070885181427,0.9373577010631079,0.18192855325615664
rwtd_229,rwtd_229_p02_m00.png,1,0.929862380027771,0.9714056751503609,0.9526174206071177
rwtd_236,rwtd_236_p01_m00.png,1,0.9442623257637024,0.9710049328869709,0.9392441794262387
rwtd_237,rwtd_237_p01_m00.png,0,0.9347344040870667,0.9595067831995541,0.9177777146639009
rwtd_238,rwtd_238_p01_m00.png,2,0.9372642636299133,0.9571111727170581,0.9078033380103075
rwtd_240,rwtd_240_p01_m00.png,1,0.8099091053009033,0.8994617303376672,0.7799344806068165
rwtd_243,rwtd_243_p02_m09.png,3,0.7286474108695984,0.8768768768580679,0.9204184069018441
rwtd_244,rwtd_244_p01_m08.png,3,0.7931530475616455,0.8386010953854484,0.8229708488728368
rwtd_245,rwtd_245_p01_m00.png,1,0.8185061812400818,0.9041071897674747,0.8691507659564539
rwtd_246,rwtd_246_p01_m02.png,3,0.7922226786613464,0.8410987816160624,0.719684581570893
rwtd_247,run0_union,0,0.9494916796684265,0.9578368207966308,0.9117645962438662
rwtd_250,run2_union,2,0.9209494590759277,0.9353615863096065,0.9185473909796975
rwtd_251,run0_union,0,0.942969799041748,0.9646433428082437,0.9313935660449033
rwtd_252,run1_union,1,0.857368528842926,0.8525827045834299,0.550014124031574
rwtd_253,rwtd_253_p02_m00.png,1,0.8619619011878967,0.8935626392051208,0.8296994498540416
rwtd_254,run0_union,0,0.9563311338424683,0.9823137459184997,0.9610148665147841
rwtd_256,rwtd_256_p02_m00.png,0,0.9460986852645874,0.9812242174199792,0.9625755136900991
rwtd_257,rwtd_257_p02_m00.png,2,0.9191378951072693,0.9583213802673729,0.9385604154376643
rwtd_258,rwtd_258_p03_m00.png,0,0.939856231212616,0.968217231147217,0.9413730880160375
rwtd_259,rwtd_259_p03_m00.png,0,0.9395312666893005,0.973502066110674,0.9679651455137155
rwtd_260,rwtd_260_p01_m00.png,1,0.9524328112602234,0.9880495852998363,0.975613997079099
rwtd_261,rwtd_261_p01_m01.png,3,0.9360063672065735,0.9696726357745933,0.9320268209835916
rwtd_262,run0_union,0,0.9489153027534485,0.9633845833444508,0.9366218680596954
rwtd_263,rwtd_263_p02_m00.png,1,0.905976414680481,0.9660284305164896,0.9298037812577936
rwtd_265,rwtd_265_p01_m01.png,3,0.7582842707633972,0.828774965011902,0.8252718810269078
rwtd_268,rwtd_268_p01_m00.png,3,0.9175752997398376,0.9736794879434896,0.9470094698628708
rwtd_269,rwtd_269_p01_m00.png,2,0.8812695145606995,0.9407571358735786,0.8781606872697921
rwtd_270,rwtd_270_p01_m08.png,3,0.4700632393360138,0.5370680403497013,0.43195689846636076
rwtd_274,rwtd_274_p01_m00.png,0,0.8443366289138794,0.8690813575694025,0.7819977458718675
rwtd_276,rwtd_276_p01_m00.png,2,0.9521773457527161,0.9794442155336747,0.9724128835777298
rwtd_280,rwtd_280_p02_m00.png,2,0.8335505127906799,0.8951980621227729,0.8283000571880922
